drugName,condition,review,rating
Lutera,Birth Control,"I've been taking Lutera for about 3-4 years now and overall it is great. I originally started with Yaz, which gave me awful side effects such as acne, depression, weight gain. Lutera is very low dose and works well for me. I have experienced a few minor side effects such as stomach pain and decreased sex drive but all in all I like it and don't want to change to another pill.",8
Tysabri,Multiple Sclerosis,I have been on only 3 types of medications for MS and this (Tysabri) is the best of the 3. I have been on it since June 2010 and have had no ill side effects! I started this medication with a different Dr but once I became JC positive he wanted me to switch to a different medication. I was not happy with the choices he gave me and he was very adamant that I needed to change medications. I did some research about another MS Clinic and made an appointment there. My Dr now is still very careful with me and keeps taking blood tests every 3 months to monitor my JC number. Last month my number was .65 and as long as it stays below 1.5 he is Ok with me taking it. This medication makes me able to be my husband care taker!,10
Wellbutrin SR,Depression,"Good for depression, not for anxiety/depression. I had a history of General Anxiety, it got worse after menopause. I was on different SSRI's, the side effects were awful. When my depression returned, my doctor had me try Wellbutrin SL. It caused agitation, loss of appetite, muscle tremor and sleep disturbances were the worst. It does not help my anxiety, but it did helped depression. I am off it now to try something else in a week.",5
Ritalin,ADHD,"I've been on this medicine for about a month and lost around eleven pounds. I initially got on it to stay more focused in school although I don't have a serious case of ADD but I don't mind the weight loss. I could spare a few pounds. You get a rush for about 45 minutes after it kicks in and that feels better than it should. I feel I can concentrate when I use it, but I'm not myself when I take it. My personality is dulled a bit and even if I have homework to do, I'll find something to distract myself. Whether it's choosing a simpler assignment or just writing because I still feel like I'm being productive.",7
Voltaren,Rheumatoid Arthritis,I found no relief from using this product for osteo arthritis,2
Dextroamphetamine,ADHD,This was one of many I tried. I was more satisfied with this one than any of the others. I never had headaches(with some I had terrible headaches!) the time release worked very well. Overall I rate this medicine the best in it's category.,10
Emsam,Depression,"Tried Effexor, Wellbutrin, Paxil, Zoloft in the past with no results. EMSAM has brought me out of it after seven years. Only a little localized skin irritation.",8
Tecfidera,Multiple Sclerosis,I have been taking Tecfidera for approximately one year and have had no flushing but it seemed to have taken fix months to begin its anti-inflammatory effect.,8
Pristiq,Depression,"I am diagnosed Bipolar I. I take Trileptal and have switched antidepressants several times. I have tried Lexapro, Zoloft and Prozac. All having relative success with my moods, but loss of libido forced me to switch. Pristiq has been the best I have tried. Both my moods and anxiety have improved. Still less of a libido than without any medication, but better than any of the other antidepressants I have taken. I still have a faint libido, but now experience delayed orgasm. However, the quality of my moods has improved so much that I am more apt to accept this side effect.",8
Ciprofloxacin,Urinary Tract Infection,"Took for 7 days, twice daily at 250 mg. This medication did nothing for me, still have my UTI.",1
Trintellix,Depression,"I started on 5mg and after a couple weeks didn't notice any changes and went to 10mg. Been on the 10mg for over a month now. I feel more calm and ""easy going"" now. I use to have panic attacks and anxiety and those are gone. For those experiencing nausea: I also have a lot of nausea soon after taking the pill, but I now take it right as I go to bed and I am not bothered by it at all. Mild headaches sporadically. Great alternative to what is on the market right now, especially for those with anxiety that don't want the sedation.",8
Aftera,Emergency Contraception,Aftera does not work!!! I took it maybe 12 hours after I had unprotected sex and it failed me. The box says you have up to 72 hours to take it. I am now 6 weeks pregnant. So disappointed,1
Nicotine,Smoking Cessation,"I've been using the patch for almost a week now and normally I would smoke 10-12 cigarettes a day, and during this past week I've only had 4 or 5. I don't feel the need to smoke like I used to. However, I notice that after about 15 minutes of putting the patch on, the area gets very itchy for about 30 minutes. There have been days where I feel very weak and tired, and sometimes nauseous and dizzy. My biggest complaint is having a hard time falling asleep. But I rather lose a little sleep than to keep smoking. These patches really do work.",9
Ethinyl estradiol / ethynodiol,Birth Control,This birth control made me extremely emotional! I'm 32 and my life was fine before I got on this pill only 2 months ago. I started flashing out on my boyfriend and have even gained about 5 pounds. I'm finishing the pack and moving on to something else. Meds are not supposed to decrease quality of life.,1
Nizatidine,GERD,"I have tried several medicines for acid reflux and this is by far the best one that works for me. Unfortunately, it has been discontinued.",10
Vistaril,Pain,"I was given vistairl for pain soon after a neck fusion. The surgeon refused to believe that I was in such severe pain after he ""fixed"" me. Within hours of taking the medication I was in a deep fog. I could not concentrate or think clearly. This medicine also made my legs ache and I could not sleep until this medication was out of my system.",1
Trifluoperazine,Anxiety,"I took this about 45 years ago in my 20's, for several years for anxiety, when it was called Stelazine. Now it is only available as the generic trifluoperazine. I've had a prostate and bladder condition for s few years now and often suffer nocturia, needing to go every 20 minutes once I go to bed at night. This often can last the entire night until 8AM-9AM. In desparation I tried this drug again and found that 1mg quiets my bladder within an hour and lets me sleep. Even if I do get up every hour or two, I can get back to sleep. Other overactive bladder meds have unacceptable side effects on me of dry mouth, and greatly lowered BP. This has no side effects, calms me down, reduces the frequency about 75% and lets me sleep.",9
Lutera,Birth Control,"Before I was on Lutera- I was on Lo Loestin FE (which was awful!- I would bleed literally two weeks out of the month, had no sex drive and gained 10 lbs). After switching to Lutera, which I have been on for a month now, my mood swings have been consistent (even though I cried when a dog commercial came on), I have actually lost weight, there is no break through bleeding, and my sex drive is back to normal, AND this is covered a 100% by my insurance. Also, no bad side effects such as acne, stomach pain, or severe discomfort in any form. The only thing is my boobs swell up a little bit, but no complaints there. This is such a great pill! I would definitely recommend this to anyone wanting to start a new BC or wanting to switch.",9
Dapsone,Acne,"I had moderate hormonal breakouts and was prescribed this by my dermatologist. He raved about its effects although it was a ""newer"" product on the market. He admitted that he was biased because he was a spokesman for this medication (red flag - no celebrity uses proactive and no doc pushes meds unless they're getting paid for it.) used it for 3 months which he said most patients saw an 85% success rate - I was not one of those patients. If anytbibf my skin was worse while using aczone. I had more breakouts than ever before and in areas I hadn't had breakouts in. They were more red and frequent than when I started using aczone. Everyone reacts to mess differently but this was a huge waste of time and money that in the end made my acne worse",1
Bontril Slow Release,Obesity,This medicine was working. Unfortunately I also suffer from migraines and take Topamax. After about two months I began depression. It was really bad.,6
Etonogestrel,Birth Control,"Do not get this it controls everything in your mind and more - expect a divorce if married by year 2 you gain almost 100 pounds or more and the weight is stuck on you FOR EVER. Run from this as much as possible it is not worth it you won't get pregnant but a list of problems I swear you will regret this thing quick. Once your body starts to change physically and mentally, sharp pains up and down your arm, worsen migraine, weight gain, bloating, always annoyed everyday and DEPRESSION EXTREMELY BAD",1
Fexmid,Muscle Spasm,"I have been suffering horrible chronic pain for the past 15 years, (after being struck by lightning). If only the doctors had tried this before, it could have saved me numerous hours of horrific pain with seemingly no end in sight. This is the best I've felt in years. Now I can start weaning myself off of the hard narcotics I hope. I would recommend this medication for any one that is suffering from severe neuropathy. What a major difference.",10
Olmesartan,High Blood Pressure,"Felt great 2 hours after starting benicar, only had pre-hypretension but I needed something to help lower pressure. I hope I continue to feel as good as I do now.",9
Nebivolol,High Blood Pressure,"I am 58 y/o in overall good health, exercise and have a good diet, but noticed over the years my b/p goes up with stress. I also have ""white coat syndrome"" which means it is always high in the doctor's office, even though when I would check it at home it would vary considerably depending on the stress level, sometimes normal and sometimes quite high. Several years ago my Doctor put me on Toprol which really did not help much. He then added Cozaar 50mg which helped somewhat to bring the readings down from ""High"" (160-170 in the Doctor's office) to ""Borderline High"" (140ish). Then about a year ago he substituted Bystolic 5mg for the Toprol and I began to achieve readings, even in the doctors office, of 120-130/70-80, and even better at home.",10
Ocella,Birth Control,"I LOVE this pill! I was on Jolessa for 4 years and always had constant spotting and bad acne, Sprintec for 4 months and had spotting and awful mood swings and periods, but Ocella is absolutely perfect. I've been on it for 3 months now and it's cleared up most of my acne, I've had no spotting and no periods, and I've lost 8 pounds! No mood swings, either. I would definitely recommend that anyone who is considering this pill give it a try. Plus, mine is only $9 a month! For the work it does, it is awesome. I cannot speak on effectiveness for pregnancy prevention as I use it to skip periods and am not sexually active.",10
Ambien,Insomnia,"I've been taking this medication on and off for over 3 years, and it has worked wonderfully. Just a third or half of a 5mg pill works for me. I have not experienced any side effects, but do go right to bed once I take the pill.",9
Naproxen / sumatriptan,Migraine,"I only used half a pill and wow it was wonderful. It also relieved the tension and strain that I always hold in my neck, back and shoulders.",10
Clonazepam,Panic Disorde,i find klonopin very usefull.it helps me feel less anxious then any med ive ever been on.i recommend it highly.only one thing of it bothers me and its the drowsiness.,8
Belviq,Obesity,"Update from 8/17 post. I have dropped a total of 27 pounds (started at 230). There is no doubt this medicine works well but keep in mind I am highly motivated and work out 4-5 times a week. Belviq works really well on sugar cravings. I think this product will be very good for alcoholics, although I am not a heavy drinker my craving and interest in alcohol have gone way down. So now it is maybe one glass of wine with dinner instead of two or three. I am paying $145 with discount but worth it.",10
Tri-Linyah,Birth Control,I have been taking tri linyah for 4 years. I have never gotten pregnant on this pill. My boobs got a cup size bigger on it and i was 115 pounds before i took it and after taking it i am 125 pounds. My periods are on time and lighter on the pill. The nausea subsided about 2 months after first taking it. The only thing i didn't like about it is that it gave me mood swings and lower sex drive.,9
Adderall XR,ADHD,"Ughh I'm so depressed reading the positive reviews (I'm a bit envious I guess) but I take the adderal XR for ADHD and it would work for me for only an hour and that's it after that I would be a zombie. So tired, no motivation. Bed ridden to be honest. I'm devastated it works for so many people. I had such high hopes. Back to the scratch board again. I didn't want to believe it was the medicine because of all the positivity but it definitely is. Quite depressed.",3
Glucophage,"Diabetes, Type 2","I consider Glucophage a successful treatment because it has been prescribed to me for ten years and I've had no adverse effects at all. Aside from favorable blood-sugar results, I don't even feel the drug is in my system.",8
Elavil,Migraine Prevention,Noticed a difference within the first week. I missed one dose and took it the next morning (10mg) and ended up with a migraine that day. It has been 9 months with only that migraine.,9
Codeine / promethazine,Cough,"I just got this prescribed to me this afternoon. I have been really sick for a week and not sleeping well. Turns out I had a sinus and double ear infection. I usually don't like anything with codeine because it makes me nauseous. But so far no nausea, not helping a whole lot with the coughing but I don't really care either.",8
Viibryd,Depression,"I've been on this for two weeks. When I first started at 10 I had some digestive trouble, nothing bad, and I had some lethargy and brain fuzziness. By day three I noticed my anxiety increasing and constant dull headaches. Day 5 I felt better. Day 7 I got nausea and slight diarrhea. Days 8, 9, 10 I was physically better but more easily agitated. Day twelve bad nausea and diarrhea for 10 hrs. No pill today, just not for me. Still have the headaches through out!",2
Milnacipran,ibromyalgia,"After years and years of pain and lack of energy, finally got my life back only after 5 days on it and I am back to be my old me. Love it!!!",10
Copaxone,Multiple Sclerosis,Did nothing to slow down the progression but did help with the muscle cramping and twitching.,4
Caverject Impulse,Erectile Dysfunction,"I had my prostate removed 13 months ago, and was advised by my Urologist and prostate nurse to commence a rehab program of 5mg Cialis daily and include a pump routine ( I do 6 x 5 minutes) one to two daily) which has almost returned my length and girth to square one. As I hadn't been achieving a erection adequate for penetration, my Urologist instructed my on injecting Caverject Impulse 10 mcg last Friday with great results. On Monday at home I self injected 10 mcg with no pain and stayed erect for 1 1/2 hours. Although I didn't; hit any small veins, it was a bit awkward finding the best spot, so this morning I decided to do a gentle pump, increasing the penis size and injected very easily. Increasing my dose to 15 mcg was a bit tight.",9
Lidocaine Viscous,Pain,I have chronic bursitis and these patches are the only thing that helps. They help numb the pain so I can walk. Thank you!! But now my insurance won't pay for it. What can I do?? It cost hundreds of dollars a box. Please help !!!!,10
Zanaflex,Muscle Spasm,this is the first one i found that works i been on alot of muscle relaxers,10
Metaxalone,Muscle Spasm,Couldn't make it without it. I had a broken neck and torn ligaments 30 years ago.,10
Vraylar,Bipolar Disorde,So far I have found this drug great. I've taken many anti depressants since I was 16 ( now 33) and just was diagnosed with bipolar. Feeling much more energy at times I don't know what to do so I workout,8
Ultram,Pain,"Yes, I have experienced a side effect of Ultram which is preventing me from sleeping. It has 50 mg 1 or 2 tablets every six hours as need. I have tried them from my doctor and I have been up all night, I had a total left knee replacement revision on the 8th of June, 2011. I was told also to take 1 Ambien (10 mg) and 1 extra strength Tylenol at the same time. I did and all I did was cat nap and was always awake when the daylight came up. I need REST!",3
Morphine,Pain,"I am a chronic pain patient and have tried Vicodin 5/500, Norco 7.5/325, Norco 10/325, Percocet, Percodan, Darvocet, andfFinally I have found relief with 120 mg of MS CONTIN a day and Percodan for breakthrough pain (up to 4 tablets a day as needed). I am now able to work a full time job, get up before noon and resume a normal life. I am so thankful my doctor decided to try the Ms Contin. The only issue is constipation, but it is controlled with Miralax.",10
ella,Emergency Contraception,"Just want to share my experience with others because I could find some comfort in those of others. I had unprotected sex on the 20th of April. My periods are regular and, based on my period tracker, at that time I was on my least fertile days of my cycle (chances were big that my ovulation had already took place a week ago). I took EllaOne after 6 hours. I experienced some mild cramps a two hours after, but that was it. I did not have any other symptoms. Based on my period tracker, my period should have started on the 26th of April. However, it did not come. I was a bit stressed and took a pregnancy test which turned out to be negative. Finally, after two days my period came! Please, stay calm and breath in/out! EllaOne works! :)",9
Lorazepam,Anxiety,"Hi All Im a young man 24 years old, I have several issues with my brain since many years ago.... I have a Major Depression, GAD, SAD, OCD, and Panic Disorder. I've been tried many option, i tried Hypnotherapy, Emotional Therapy, CBT , also I been to some psychiatrist in Indonesia and Singapore. Finally I met the best psychiatrist in my country, and with him I found best med and finally cure my problem. You all have to try this too and talk to your psychiatrist to ask for prescription. Every Morning I take 1mg Ativan and Every Night I take 5mg Zyprexa and 150mg Zoloft Please try this, please.. Enjoy your life.. Also CBT is good as well...",10
Stendra,Erectile Dysfunction,"This medication does not work. I have no idea why my doctor suggested it when Viagra and Cialis was great in the past. Even got prescribed the high dose 200's and hours after taking no effect at all. So I took another 200 and absolutely nothing at all. Nothing at all. This drug only left me feeling a bit dizzy and my heart rate increased. No libido effect at all, nothing. Viagra kicks in within an hour and peaks in 2. This Stendra does nothing and I want my money back from my appointment and the cost of the script!!!!!",1
Claravis,Acne,"I've had bad acne since I was in middle school. I didn't do anything about it until around the summer of 10th grade because I started to get cystic acne on a regular basis. My dermatologist put me on Doxycycline. At the time I was not always regular with taking pills and when my acne did get better and start to go away I thought I was fine. The acne just kept coming back and I took antibiotics and creams like retinol and Epiduo and all sorts of benzoyl peroxide washes but nothing worked. So my dermatologist finally convinced me to get on Accutane. As of right now I'm 5 months in and my skin has never been better it's amazing. My side effects were dry eyes (I have contacts) dry face, dry lips and nose bleeds. I honestly wish I did it sooner!",10
Saxagliptin,"Diabetes, Type 2","I am on Onglyza and Metformin. I have much confidence in the Onglyza. I ran out of the drug for a week, and my sugar went sky high. My insurance may not cover Onglyza now and I am saddened by that. I trust this drug to keep my sugar in check.",10
Toradol,Pain,Hurt my lower back and it helped a little. Didn't take the pain all away but it did lower it.,7
Tramadol,Depression,Several years ago I was given tramadol for light pain. I have suffered from bipolar depression for about 40 years and have taken every drug made for depression. I get a little relief using fetzima but the cost is prohibitive. After taking the tramadol I realized that my depression and panic attacks just disappeared. In Mississippi it's almost impossible to get tramadol subscribed so I kept my supply by ordering out of the country which is also very expensive. When you are suicidal much of the time you will seek help wherever you can find it. I finally got a nurse practitioner to prescribe me two 50 mg tablets a day. I have a high tolerance to all drugs and four 50 mg gives me total relief from my mental illness. Side effects decreased sex drv.,10
Maprotiline,Panic Disorde,Effective medication for panic disorder and for highly somatisation patients also very helpful for insomnia. I suggested maprotiline for patient with no response to SSRis or tricyclic antidepressants.,10
Opana,Pain,"20 mg ER dosage does very little for pain stemming from my degenerative cervical and lumbar spinal discs. One tablet gives me only about two hours of relief. I am going to ask my doctor to put me back on 80 mg Oxycodone, regardless of the outrageous price.",2
Orlistat,Obesity,"Seems that many men have used this medicine. Last summer I lost the best part of 4.5 stone. Yes, they do work, but at the time I was very busy with a very big project in our garden - all manual labour, so this no doubt a large contributory factor. Over the winter I have put some of it back on and am now 13 stone. The weight has gone from my pectorials, neck, face, legs, but I still can't lose as much of it from where I want to....... my belly. Achieved a small loss from 44inches down to 40 inches, not nearly enough. I am 70 next year. Oh, by the way, my wife bless her doesn't help! ""I've made your favourite. A lovely spag bol tonight sweetheart You need a blow out now & again"" What to do? My Mrs makes best spag bol on earth!",7
Levomilnacipran,Major Depressive Disorde,"Fetzima, I was originally turned off by the name because of the douchey Zima drink that was the rage for a few months back in 2009. After that I have to say this medication works FOR ME. Everyone is different. I've tried almost everything in a psych. Hand book even cocktails of medications. I am happy to say the current 80 mg dose has been a dramatic change in my life. Like most with bad depression and anxiety stemming from childhood it can be crippling effecting everything an everyone in your life. I'm happy to say I have turned things around on this particular cocktail of medication but I will say this the fetzima is the thing that made the difference. It's like adding mint to a mojito. Things turnedgood from the start of fetzima.",10
Geodon,Bipolar Disorde,"I am diagnosed bipolar with psychotic features and I started taking this medication in 2009 when I first got hospitalized after I found out I was ""allergic"" to Abilify. Geodon was like a miracle. It took away all of the voices and visual hallucinations that I would experience and it worked for a very long time with no side effects which was perfect but just recently last December to be exact it just stopped working. So now I am being weened off the Geodon and am being put on Saphris. Hopefully it will work just as well as the Geodon it has been a hard couple of months including a hospitalization and 2 bouts of IOP. Geodon was great with little if any side effects but hopefully it will last longer for you than it did for me.",8
Jolessa,Birth Control,"I am halfway through my first pack, and so far I love it. No bleeding or nausea. No weight gain. My gynecologist suggested I take birth control because I'm a wreck when I get my period--terrible cramps that nothing helps, loss of appetite, extreme fatigue. Hopefully I'll have a lighter period (my period lasts 5-7 days) when I finish the pack and no cramps, fatigue, or headaches.",10
Dexlansoprazole,GERD,I somehow contracted h-pylori. This bacteria cause damage to my stomach lining. As a result I began to suffer from serve burning in my stmach & everything I ate gave me heartburn & acid reflux. After seeing a gastro doctor put me on a Dexilant (60mg). It was a life saver. I don't get the burning feeling in my stomach & no refux which was starting to damage my esophagus. My insurance pays a portion of the cost. Then I went to the Dexilant website in which they offer a program for reduced cost. I pay $20 a month for a pill that allows me to eat without suffering. I have had no side effects from this medication. I been taking Dexilant for 6 years everyday. If I miss a day it still works but I can't go longer than 2 days without it.,10
Diazepam,Anxiety,"This was the only thing that gave me some pain relief from severe irritable bowel syndrome, triggered/made worse from anxiety. Thank God for Valium. Only lasted about 3 hrs, but was a low dose of 2mg. Only a small supply was given to me as a short term solution, but I'm so glad I'm finally getting the relief from the anxiety and pain.",9
Zantac 150,GERD,"Ever since I put on weight, I’ve been experiencing occasional reflux (about once a week). I never knew how painful reflux could be. Another symptom I’ve been having is regurgitation and belching. At times, I’ll wake up coughing because I’m choking on regurgitate. It’s scary and leaves my esophagus and throat burning. ZANTAC is my go-to. It works every time. Tonight I had reflux and I felt it dissipate within 5 minutes of taking the Zantac tablet. The pain was completely gone in 10 minutes. I’ve also started sleeping with my head up about 30 degrees and that helps too.",10
Amoxicillin / clavulanate,Urinary Tract Infection,"Went to a doctors and was initially prescribed Trimethoprim for a UTI but following a 3 day course developed a temperature and vomiting so was admitted to hospital and they prescribed me Amoxiclav 3 times a day for 10 days. Absolutely vile stuff, think out of the 8 tablets I vomited violently after 5 and the other 3 I was sat there clutching a sick bowl feeling like I was going to vomit for hours. I've spoke to my doctor and now been changed to Ciprofloxacin so fingers crossed I have more luck on this one. But would not recommend Amoxiclav one bit, made me feel 400 times worse than I already did.",2
Doxepin,Insomnia,Its the only thing that helps at all. Covered under workers compensation.,7
Microgestin Fe 1.5 / 30,Birth Control,"I was put on this birth control when Gildess was recalled. Gildess was PERFECT for me so I hoped that the change wouldn't be as different, but I was wrong. Granted, this pill did a good job in preventing pregnancy and there was no breakthrough bleeding. I experienced mood swings about a week into taking this pill and honestly did not recognize myself. I never understood depression caused by the pill because I never experienced it but this pill literally made my life hell. I was so moody, crying at the smallest things, and my sex drive was GONE. I also had no desire to eat because of the constant nausea and abdominal pain. Avoid this pill, the side effects are NOT worth it. Currently waiting to be switched to brand Loestrin fe.",2
Duac,Acne,"Just want to start by stating my skin type..I get bad breakouts & that's why I am on Duac. I'd say I have ""normal""skin as it doesn't tend to be dry or oily. I would describe my acne as not extremely severe, it can flare up pretty bad & when it's at it's worst, it can sometimes actually hurt *To the point* I'm on this product a few months now. After about a month or so I THOUGHT it was working, but my breakouts are still happening just as bad, it does not prevent them at all!! Now, I've a bad breakout for the past week & a half and it hasn't helped all that much. I use Duac at night time because I find that's what suits me best..I have a strict night time routine..I cleanse, moisturise and then apply my Duac. It flakes so bad!! Will be discontinuing.",5
Viorele,Birth Control,"I took Viorele for a single month. I have experienced the worst acne I've had in YEARS, my depression has gotten significantly worse, my blood pressure (which is usually spot on perfect) is frequently high, and my mood swings are horrible.",1
Lexapro,Anxiety,I started 10mg lexapro 5 days ago for anxiety. I had been free from mirtazapine for about 9 days before starting. At first I though I had a tummy bug and stayed in bed the next day.... 5 days later and I'm still in bed and yesterday spoke with my doc who said to stop taking them. I was a complete nervous wreck... more than I had ever been without meds. Neither of the previous 2 meds (paxtine and mirtazapine) had side effects like this. This med is not for me sadly.,3
L-methylfolate,Depression,"I am taking 225 mg of Lamictal for depression. The Dr. wanted me to try this along with the Lamictal. I took it once, at bedtime and woke up with the worst headache I've had in my entire life, and it lasted all day. Also had very loud ringing in my ears which lasted all day. Not good. Needless to say, I did not take it again, so I cannot comment on its effectiveness.",1
Escitalopram,Generalized Anxiety Disorde,"This medicine truly changed my life. I was afraid to go outside, FaceTime family, and even talk on the phone. A few weeks after starting this medication I began to feel like myself again and I didn't even know I wasn't myself until I was able to do things like a normal human being again. I had previously tried Propranolol to make it so my heart rate wouldn't get super high but that wasn't solving the root of the problem. I am very thankful for Lexapro and I highly recommend it if you are suffering from generalized anxiety disorder like I was. I haven't had any side effects either :)",10
Luvox,Anxiety and Stress,"I've had a severe depression with anxiety. I must have tried countless products, one worse than the next. I've been on Cipralex for 15 years - but it stopped working. Latuda was terrible - why did they give it to me??... I can't even recall half the names. Finally, there's a perfect solution for me. It's so terrific I need to share it. I take Cymbalta (min. dose) in the morning (with my synthroid), and take Luvox (min. dose) at night, along with half a zoplicone (7.5 mg) for sleeping. I haven't felt this well since I can remember. The Cymbalta takes care of my fibromyalgia / headaches, and the Luvox has cleared away all the anxiety. It's a miracle. It's been a month now. I'm back to work and feeling well.",10
Losartan,High Blood Pressure,"I was prescribed this more than 20 years ago, but other issues caused them to switch to HCTZ, medrol, lisinopril (coughed and they took me off), and eventually back to Cozaar. I didn't realize it at the time, but looking back over the data, I see that whenever my dose was above 50mg (it's been 75 and 100 at times), my weight shot up a good bit. Couple that with an SSRI (sometimes taken in concert with >50mg Cozaar, sometimes not taken at all) and you get dramatic ballooning. I'm now trying to get weight down and that's lowering BP so when I get down to 25mg, we'll see if weight comes off faster.",6
Xifaxan,Irritable Bowel Syndrome,This drug saved my life. I have severe irritable bowel syndrome for 20 years and it completely stopped all my symptoms for 4 months. My doctor recommended that I repeat the treatment every 3-4 months.,10
Carbamazepine,Bipolar Disorde,I have been on 400mg once a day at night since I got diagnosed with bipolar 4 months ago and I am definitely more stable. I haven't had a manic episode since. I have had a few depressed times but not to the extent of before. Carbamazepine is definitely doing it's job at stabilizing my moods.,9
Ritalin,ADHD,Ritalin helped me when I was young. Now I'm 27 and using it again.,10
Nucynta ER,Pain,"Take it for back pain as needed. 100mg dose. It works but it makes you tired. No pain. Some days I can't even get up cause of my back pain. Only problem is when I don't take it (I try not to use pain meds too much) I get really sick. Maybe its withdrawal. That part isn't fun. But after 3 days or so of not taking it, I'm back to normal",10
Lotrel,High Blood Pressure,"Great at lowering blood pressure (250 to 174 using 10 mg). But body aches, dull headache often noted. My doctor wanted me on 20 mg but that was too uncomfortable.",6
Terazol,Vaginal Yeast Infection,"This cream's dosage is long - 7 days. I wish it was shorter. However, as soon as I inserted the first dose on first night, I felt immediate relief. Insert cream at night and let it drain out in the morning. Repeat this for 7 days. I wear pantyliners everyday. You may need to change your liner midday in case some cream leaks out. By the 3rd day, I was pretty functional around the house and at work. I'm on day 4 and I still feel a bit itchy, but so much better than before. Remember to stop eating sugar and eat more vegetables and a probiotic to help the yeast die along with the medication. Cream feels soothing. No burn nor skin reaction to cream. So far so good. :)",8
Camrese,Birth Control,"This birth control made me miserable. By the completion of the first week, I started to get these crippling headaches, nausea, and dizziness. I also experienced a couple episodes of serious night sweats. I was extremely sad the entire time I was on it. To top all of that off I never stopped bleeding! That's right, I've been bleeding for 3 weeks straight, and counting. Finally my mother and husband had to force me off the stuff because they saw how miserable I was. The only positive was that my skin cleared up a great deal. It just wasn't for me.",2
Lexapro,Anxiety,"This med is amazing. 23 year old christian college grad with every type of anxiety for the past 2 years. Could barely go to class or the grocery store, felt dissociated, distant and terrified of people (including friends). Was scared to try any drug but after losing my job and needing to go out and interview I decided to try something. 3 days in and I feel totally changed. No anxiety. Clear head. Feel like I could even move countries to work and I've been out more in a weekend than I have been in 3 months combined. I take 5mg and 25mg of hydroxyzine to balance out the side effects (blurry vision, headaches, muscle spasms etc). Don't be scared just try it. I regret not going on this sooner.",10
Suprep Bowel Prep Kit,Bowel Preparation,"I had my first colonoscopy last week. I was prepared for the worst. It's no fun, but not nearly as bad as I expected. I mixed the Suprep with ice water and drank it through a straw. I took four big sips, rested for a minute, then four more, rested again, and then finished it off. The taste isn't great, but bearable. Afterwards I let a single peppermint lifesaver dissolve on my tongue; it completely removed the aftertaste. Finally, the elimination process was gentle. No cramps or nausea. Process took about two hours. Colonoscopy results were pretty good. Glad I went, although sorry I waited until I was 61. PLEASE do not let fear of the prep process prevent you from getting this lifesaving exam.",8
Dexilant,GERD,"My husband has been dealing with severe reflux issues for the past four years due to a low-functioning esophageal sphincter. The acid is free to move about the esophagus when aggravated, most often after eating or sleeping, resulting in severe discomfort upon waking in the morning (bile regurgitation, coughing, etc.). He suffered from an ulcer a couple years ago due to overactive acid production and we thought we got that taken care of only for the symptoms to return tenfold. He has been put on every acid blocker you can imagine, none of which worked. We were certain he was going to need an operation until Dexilant was prescribed. It has totally transformed his stomach and his life.",9
Alprazolam,Anxiety,"Xanax is an excellent medicine for myself. It has prevented panic attacks and helped me through times of rough anxiety. Ativan never worked for me and Klonopin makes me drunk-like and put me in the hospital 3 times. The hospital finally said I have an allergy to Klonopin and could no longer take it. After going on Xanax, I felt so much better and relieved. I try not to take Xanax everyday, as it is not meant to be a long-term solution to anxiety and can be very addicting, so be very careful. I am on Paxil CR and Risperdal on top of Xanax for my anxiety, PTSD, panic disorder, and OCD.",10
Gildess Fe 1.5 / 30,Birth Control,"This is the 3rd pill I've been on, and I have mixed feelings. Simply because I don't get regular periods whatsoever and that is really scary. Other than that it's great.",7
Pantoprazole,GERD,"Severe itching, swelling and redness in hands and neck. Immediate burning in esophagus and acid reflux symptoms.",1
Vyvanse,ADHD,"I am an 18 years old and I have been taking this medication since I was 14. It helps me alot with concentration in fact without it I don't know how I would have graduated high school. While taking Vvyanse I have experienced all of its side effects which includes low and high blood presure, nervousness, uncontrolable body movemnets, numbness of my left side of the body etc., mostly because some days I would take it and then didn't take it for like a week so your body would have to get used to it all over again. I just recently had a baby and now am back on it again since I plan on going to College.",9
Lodine,Pain,"Lower backache, the doctor said it was arthritis. I have not yet done x-rays but after 2 weeks the pain has competely subsided. So have other joint aches, which I guess I had ignored.",9
Loestrin Fe 1 / 20,Birth Control,"I had been on Beyaz for 4 years before this pill until my health insurance changed and could no longer cover it. The pros and cons are about half and half for me for Loestrin. I did gain weight on this...about 7 pounds, of course all around the love handle/lower stomach/thigh area. My acne is WAY worse. However, aside from those 2 negatives I like this pill more than Beyaz because I definitely have a better mood, more energy, and a higher sex drive/wetness. My periods are also lighter and shorter.",7
Amoxapine,Depression,"Have used it for 7 years for insomnia, still effective and not addictive.",10
Dexilant,GERD,I am using Dexelant over 5 years and I keep taking every day it's help me a lot I was very bad to much heartburn so sick of it but thanks to Dexelant for helping me so much,10
Benicar,High Blood Pressure,"Not compatible with moderate alcohol. I haven't had a hangover in over 10 years. After two pills, I had a doozy.",2
Melatonin,Insomnia,Just took my melatonin. Currently can't stop yawning while scrolling through reading about all the awesome sleeps you guys had.. <yawns> still can't sleep tho..,6
